site,latitude,longitude,date,week,treatment,plot_position,top_depth_m,middle_depth_m,bottom_depth_m,unmeasured_sea_cucumber,survey_time,species,abundance,density
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,initial_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,experimental_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,blood_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,leather_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,mottled_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,ochre_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,pink_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,sunflower_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,initial_sea_cucumber,2,0.08
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,experimental_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,blood_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,leather_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,mottled_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,ochre_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,pink_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,sunflower_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,initial_sea_cucumber,8,0.32
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,experimental_sea_cucumber,0,0
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,blood_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,leather_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,mottled_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,ochre_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,pink_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,sunflower_star,NA,NA
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,initial_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,experimental_sea_cucumber,4,0.16
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,blood_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,leather_star,61,2.44
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,mottled_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,ochre_star,21,0.84
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,pink_star,4,0.16
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,initial_sea_cucumber,8,0.32
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,experimental_sea_cucumber,9,0.36
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,blood_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,leather_star,26,1.04
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,mottled_star,1,0.04
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,ochre_star,1,0.04
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,pink_star,2,0.08
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,initial_sea_cucumber,2,0.08
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,experimental_sea_cucumber,11,0.44
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,blood_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,leather_star,52,2.08
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,mottled_star,1,0.04
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,ochre_star,2,0.08
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,pink_star,0,0
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,initial_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,experimental_sea_cucumber,12,0.48
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,blood_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,leather_star,37,1.48
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,mottled_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,ochre_star,8,0.32
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,pink_star,2,0.08
