site,latitude,longitude,transect,species,abundance,density
Best Pt,49.3819729,-122.8795259,1,blood_star,0,0
Best Pt,49.3819729,-122.8795259,1,leather_star,61,1.22
Best Pt,49.3819729,-122.8795259,1,mottled_star,0,0
Best Pt,49.3819729,-122.8795259,1,ochre_star,0,0
Best Pt,49.3819729,-122.8795259,1,pink_star,9,0.18
Best Pt,49.3819729,-122.8795259,1,sea_cucumber,0,0
Best Pt,49.3819729,-122.8795259,1,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,2,blood_star,0,0
Best Pt,49.3819729,-122.8795259,2,leather_star,175,3.5
Best Pt,49.3819729,-122.8795259,2,mottled_star,4,0.08
Best Pt,49.3819729,-122.8795259,2,ochre_star,NA,NA
Best Pt,49.3819729,-122.8795259,2,pink_star,8,0.16
Best Pt,49.3819729,-122.8795259,2,sea_cucumber,41,0.82
Best Pt,49.3819729,-122.8795259,2,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,1,blood_star,0,0
Boulder Island,49.3114465,-122.938326,1,leather_star,74,1.48
Boulder Island,49.3114465,-122.938326,1,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,1,ochre_star,47,0.94
Boulder Island,49.3114465,-122.938326,1,pink_star,6,0.12
Boulder Island,49.3114465,-122.938326,1,sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,1,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,2,blood_star,0,0
Boulder Island,49.3114465,-122.938326,2,leather_star,42,0.84
Boulder Island,49.3114465,-122.938326,2,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,2,ochre_star,37,0.74
Boulder Island,49.3114465,-122.938326,2,pink_star,29,0.58
Boulder Island,49.3114465,-122.938326,2,sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,2,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,1,blood_star,2,0.04
Brighton Beach,49.35914,-122.89389,1,leather_star,44,0.88
Brighton Beach,49.35914,-122.89389,1,mottled_star,10,0.2
Brighton Beach,49.35914,-122.89389,1,ochre_star,3,0.06
Brighton Beach,49.35914,-122.89389,1,pink_star,14,0.28
Brighton Beach,49.35914,-122.89389,1,sea_cucumber,19,0.38
Brighton Beach,49.35914,-122.89389,1,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,2,blood_star,0,0
Brighton Beach,49.35914,-122.89389,2,leather_star,10,0.2
Brighton Beach,49.35914,-122.89389,2,mottled_star,0,0
Brighton Beach,49.35914,-122.89389,2,ochre_star,1,0.02
Brighton Beach,49.35914,-122.89389,2,pink_star,2,0.04
Brighton Beach,49.35914,-122.89389,2,sea_cucumber,0,0
Brighton Beach,49.35914,-122.89389,2,sunflower_star,0,0
Jug Island,49.3302902,-122.916925,1,blood_star,0,0
Jug Island,49.3302902,-122.916925,1,leather_star,5,0.1
Jug Island,49.3302902,-122.916925,1,mottled_star,1,0.02
Jug Island,49.3302902,-122.916925,1,ochre_star,15,0.3
Jug Island,49.3302902,-122.916925,1,pink_star,0,0
Jug Island,49.3302902,-122.916925,1,sea_cucumber,0,0
Jug Island,49.3302902,-122.916925,1,sunflower_star,0,0
Jug Island,49.3302902,-122.916925,2,blood_star,0,0
Jug Island,49.3302902,-122.916925,2,leather_star,41,0.82
Jug Island,49.3302902,-122.916925,2,mottled_star,0,0
Jug Island,49.3302902,-122.916925,2,ochre_star,76,1.52
Jug Island,49.3302902,-122.916925,2,pink_star,1,0.02
Jug Island,49.3302902,-122.916925,2,sea_cucumber,3,0.06
Jug Island,49.3302902,-122.916925,2,sunflower_star,0,0
N Croker Island,49.4481372,-122.87396,1,blood_star,0,0
N Croker Island,49.4481372,-122.87396,1,leather_star,49,0.98
N Croker Island,49.4481372,-122.87396,1,mottled_star,4,0.08
N Croker Island,49.4481372,-122.87396,1,ochre_star,3,0.06
N Croker Island,49.4481372,-122.87396,1,pink_star,2,0.04
N Croker Island,49.4481372,-122.87396,1,sea_cucumber,37,0.74
N Croker Island,49.4481372,-122.87396,1,sunflower_star,5,0.1
N Croker Island,49.4481372,-122.87396,2,blood_star,0,0
N Croker Island,49.4481372,-122.87396,2,leather_star,54,1.08
N Croker Island,49.4481372,-122.87396,2,mottled_star,0,0
N Croker Island,49.4481372,-122.87396,2,ochre_star,0,0
N Croker Island,49.4481372,-122.87396,2,pink_star,0,0
N Croker Island,49.4481372,-122.87396,2,sea_cucumber,43,0.86
N Croker Island,49.4481372,-122.87396,2,sunflower_star,1,0.02
Old Buntzen PP,49.3698033,-122.8733116,1,blood_star,0,0
Old Buntzen PP,49.3698033,-122.8733116,1,leather_star,38,0.76
Old Buntzen PP,49.3698033,-122.8733116,1,mottled_star,1,0.02
Old Buntzen PP,49.3698033,-122.8733116,1,ochre_star,29,0.58
Old Buntzen PP,49.3698033,-122.8733116,1,pink_star,0,0
Old Buntzen PP,49.3698033,-122.8733116,1,sea_cucumber,5,0.1
Old Buntzen PP,49.3698033,-122.8733116,1,sunflower_star,0,0
Old Buntzen PP,49.3698033,-122.8733116,2,blood_star,0,0
Old Buntzen PP,49.3698033,-122.8733116,2,leather_star,63,1.26
Old Buntzen PP,49.3698033,-122.8733116,2,mottled_star,1,0.02
Old Buntzen PP,49.3698033,-122.8733116,2,ochre_star,1,0.02
Old Buntzen PP,49.3698033,-122.8733116,2,pink_star,0,0
Old Buntzen PP,49.3698033,-122.8733116,2,sea_cucumber,13,0.26
Old Buntzen PP,49.3698033,-122.8733116,2,sunflower_star,0,0
S Croker Island,49.4314554,-122.86964,1,blood_star,0,0
S Croker Island,49.4314554,-122.86964,1,leather_star,60,1.2
S Croker Island,49.4314554,-122.86964,1,mottled_star,4,0.08
S Croker Island,49.4314554,-122.86964,1,ochre_star,1,0.02
S Croker Island,49.4314554,-122.86964,1,pink_star,0,0
S Croker Island,49.4314554,-122.86964,1,sea_cucumber,5,0.1
S Croker Island,49.4314554,-122.86964,1,sunflower_star,0,0
S Croker Island,49.4314554,-122.86964,2,blood_star,0,0
S Croker Island,49.4314554,-122.86964,2,leather_star,88,1.76
S Croker Island,49.4314554,-122.86964,2,mottled_star,0,0
S Croker Island,49.4314554,-122.86964,2,ochre_star,0,0
S Croker Island,49.4314554,-122.86964,2,pink_star,0,0
S Croker Island,49.4314554,-122.86964,2,sea_cucumber,57,1.14
S Croker Island,49.4314554,-122.86964,2,sunflower_star,0,0
S Johnson Bay,49.4021643,-122.8662349,1,blood_star,0,0
S Johnson Bay,49.4021643,-122.8662349,1,leather_star,66,1.32
S Johnson Bay,49.4021643,-122.8662349,1,mottled_star,2,0.04
S Johnson Bay,49.4021643,-122.8662349,1,ochre_star,2,0.04
S Johnson Bay,49.4021643,-122.8662349,1,pink_star,0,0
S Johnson Bay,49.4021643,-122.8662349,1,sea_cucumber,31,0.62
S Johnson Bay,49.4021643,-122.8662349,1,sunflower_star,1,0.02
S Johnson Bay,49.4021643,-122.8662349,2,blood_star,0,0
S Johnson Bay,49.4021643,-122.8662349,2,leather_star,59,1.18
S Johnson Bay,49.4021643,-122.8662349,2,mottled_star,3,0.06
S Johnson Bay,49.4021643,-122.8662349,2,ochre_star,2,0.04
S Johnson Bay,49.4021643,-122.8662349,2,pink_star,1,0.02
S Johnson Bay,49.4021643,-122.8662349,2,sea_cucumber,42,0.84
S Johnson Bay,49.4021643,-122.8662349,2,sunflower_star,0,0
Twin Islands,49.3474048,-122.8931744,1,blood_star,0,0
Twin Islands,49.3474048,-122.8931744,1,leather_star,89,1.78
Twin Islands,49.3474048,-122.8931744,1,mottled_star,0,0
Twin Islands,49.3474048,-122.8931744,1,ochre_star,0,0
Twin Islands,49.3474048,-122.8931744,1,pink_star,24,0.48
Twin Islands,49.3474048,-122.8931744,1,sea_cucumber,1,0.02
Twin Islands,49.3474048,-122.8931744,1,sunflower_star,1,0.02
Twin Islands,49.3474048,-122.8931744,2,blood_star,0,0
Twin Islands,49.3474048,-122.8931744,2,leather_star,82,1.64
Twin Islands,49.3474048,-122.8931744,2,mottled_star,1,0.02
Twin Islands,49.3474048,-122.8931744,2,ochre_star,12,0.24
Twin Islands,49.3474048,-122.8931744,2,pink_star,23,0.46
Twin Islands,49.3474048,-122.8931744,2,sea_cucumber,2,0.04
Twin Islands,49.3474048,-122.8931744,2,sunflower_star,0,0
