site,latitude,longitude,date,week,treatment,plot_position,top_depth_m,middle_depth_m,bottom_depth_m,unmeasured_sea_cucumber,survey_time,abundance_initial_sea_cucumber,abundance_experimental_sea_cucumber,density_initial_sea_cucumber,density_experimental_sea_cucumber,density_change
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Control,left,NA,6,NA,0,14,10,10,0.4,0.4,0
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Addition,right,NA,5,NA,0,6,2,10,0.08,0.4,0.32
Best Pt,49.3819729,-122.8795259,01-18-2025,0,Removal,center,NA,6.2,NA,0,7,8,0,0.32,0,-0.32
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Control,left,5.4,6.4,6.6,0,13,10,4,0.4,0.16,-0.24000000000000002
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Removal,center,5.8,7.4,8.4,1,16,8,9,0.32,0.36,0.03999999999999998
Best Pt,49.3819729,-122.8795259,01-25-2025,1,Addition,right,4.3,5,5.7,3,13,2,11,0.08,0.44,0.36
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,10,12,0.4,0.48,0.07999999999999996
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,8,13,0.32,0.52,0.2
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,2,11,0.08,0.44,0.36
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,10,6,0.4,0.24,-0.16000000000000003
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,8,15,0.32,0.6,0.27999999999999997
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,2,9,0.08,0.36,0.27999999999999997
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,0,1,0,0.04,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,0,0,0,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,0,0,0,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,2,2,0.08,0.08,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,12,4,0.48,0.16,-0.31999999999999995
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,3,11,0.12,0.44,0.32
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,2,1,0.08,0.04,-0.04
