site,latitude,longitude,transect,survey_time,abundance_shallow,abundance_deep,density_shallow,density_deep
Boulder Island,49.3114465,-122.938326,left,10.6,1,0,0.09433962264150944,0
Boulder Island,49.3114465,-122.938326,right,10.9,1,0,0.09174311926605504,0
Jug Island,49.3302902,-122.916925,left,15.733333333333333,0,0,0,0
Jug Island,49.3302902,-122.916925,right,19.466666666666665,1,0,0.051369863013698634,0
Twin Islands,49.3474048,-122.8931744,left,9.55,0,0,0,0
Twin Islands,49.3474048,-122.8931744,right,12.616666666666667,0,0,0,0
Brighton Beach,49.35914,-122.89389,left,7.466666666666667,2,5,0.26785714285714285,0.6696428571428571
Brighton Beach,49.35914,-122.89389,right,9.033333333333333,0,3,0,0.33210332103321033
Old Buntzen PP,49.3698033,-122.8733116,left,16.45,5,33,0.303951367781155,2.0060790273556233
Old Buntzen PP,49.3698033,-122.8733116,right,7.833333333333333,3,2,0.3829787234042553,0.25531914893617025
Best Pt,49.3819729,-122.8795259,left,7.866666666666666,0,2,0,0.2542372881355932
Best Pt,49.3819729,-122.8795259,right,8.1,6,5,0.7407407407407408,0.617283950617284
S Johnson Bay,49.4021643,-122.8662349,left,21.716666666666665,1,8,0.046047582501918656,0.36838066001534925
S Johnson Bay,49.4021643,-122.8662349,right,14.8,9,2,0.6081081081081081,0.13513513513513511
S Croker Island,49.4314554,-122.86964,left,15.183333333333334,16,7,1.0537870472008781,0.4610318331503842
S Croker Island,49.4314554,-122.86964,right,13.466666666666667,10,42,0.7425742574257426,3.118811881188119
N Croker Island,49.4481372,-122.87396,left,23.533333333333335,1,9,0.04249291784702549,0.38243626062322944
N Croker Island,49.4481372,-122.87396,right,19.016666666666666,1,4,0.0525854513584575,0.21034180543383
