file_name,date,site,transect,time_in_video,depth_m,width_m
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,0:27,27.7,1.2875
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,1:29,26.1,1.7167
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,2:28,23.6,1.4714
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,3:28,21.8,3.4333
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,4:29,18.7,2.06
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,5:29,17.4,1.1444
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,6:28,14.7,2.575
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,7:29,12.5,2.575
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,8:30,10,2.06
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,9:29,7.8,1.8727
2025-07-17_00-40-37_DEEP_TREKKER_HD,7/16/2025,boulder_island,left,10:28,5.3,1.9074
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,0:12,34,1.2875
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,1:13,33.4,1.3205
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,2:12,31.8,1.1444
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,3:15,29.1,1.3733
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,4:13,25.8,0.9716
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,5:14,21.9,0.9196
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,6:14,17.1,2.06
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,7:14,12.7,3.4333
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,8:13,10.3,1.9074
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,9:12,8,2.861
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,10:13,6.7,1.9074
2025-07-17_01-06-09_DEEP_TREKKER_HD,7/16/2025,boulder_island,right,11:12,4.2,1.9653
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,0:12,61.5,2.7105
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,1:10,54.4,4.2916
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,2:08,46.5,4.6818
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,3:07,37,3.6785
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,4:07,27.5,4.2916
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,5:12,19.9,3.9615
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,6:16,11.9,4.2916
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,7:11,7.1,3.0058
2025-07-16_21-27-21_DEEP_TREKKER_HD,7/16/2025,brighton_beach,left,8:01,4,1.03
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,0:15,53.4,4.2917
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,1:15,50.3,0.8306
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,2:12,48.5,1.0957
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,3:19,45.2,1.4714
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,4:13,42.3,1.4306
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,5:15,36.8,2.8611
2025-07-16_21-46-04_DEEP_TREKKER_HD,7/16/2025,brighton_beach,right,6:18,29.6,3.2187
